date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:33	5057/5057	---M--	200	added ('OK')	image/jpeg	etag:%2213c1-55d4e7aa4b480%22	http://www.freereikicourse.com/img/hp/base/ba21.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba21.jpg	(from http://www.freereikicourse.com/)
12:25:35	13969/13969	---M--	200	added ('OK')	image/jpeg	etag:%223691-55d4e79de5740%22	http://www.freereikicourse.com/img/hp/base/mesg1.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/mesg1.jpg	(from http://www.freereikicourse.com/)
12:25:37	13520/13520	---M--	200	added ('OK')	image/png	etag:%2234d0-55d4e766954c0%22	http://www.freereikicourse.com/images/digital_hanko_image.png	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/images/digital_hanko_image.png	(from http://www.freereikicourse.com/)
12:25:38	27191/27191	---M--	200	added ('OK')	image/jpeg	etag:%226a37-55d4e777bfd40%22	http://www.freereikicourse.com/images/hand.jpg?250	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/images/hand6c98.jpg	(from http://www.freereikicourse.com/)
12:25:39	6095/6095	---M--	200	added ('OK')	image/jpeg	etag:%2217cf-55d4e7ac33900%22	http://www.freereikicourse.com/img/hp/base/ba22.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba22.jpg	(from http://www.freereikicourse.com/)
12:25:39	986/986	---M--	200	added ('OK')	image/jpeg	etag:%223da-55d4e7ac33900%22	http://www.freereikicourse.com/img/hp/base/ba23.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba23.jpg	(from http://www.freereikicourse.com/)
12:25:40	2193/2193	---M--	200	added ('OK')	image/jpeg	etag:%22891-55d4e79920c00%22	http://www.freereikicourse.com/img/hp/base/naviglink1.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/naviglink1.jpg	(from http://www.freereikicourse.com/)
12:25:40	16307/16307	---M--	200	added ('OK')	text/html	etag:%223fb3-55d4e75e00080%22	http://www.freereikicourse.com/gallery_6.html	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/gallery_6.html	(from http://www.freereikicourse.com/)
12:25:40	16181/16181	---M--	200	added ('OK')	text/html	etag:%223f35-55d4e765a1280%22	http://www.freereikicourse.com/guest_book_5.html	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/guest_book_5.html	(from http://www.freereikicourse.com/)
12:25:41	14731/14731	---M--	200	added ('OK')	text/html	etag:%22398b-55d4e75c17c00%22	http://www.freereikicourse.com/contact_us_4.html	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/contact_us_4.html	(from http://www.freereikicourse.com/)
12:25:42	16070/16070	---M--	200	added ('OK')	text/html	etag:%223ec6-55d4e7e56c000%22	http://www.freereikicourse.com/reik_products_14.html	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/reik_products_14.html	(from http://www.freereikicourse.com/)
12:25:43	901/901	---M--	200	added ('OK')	image/jpeg	etag:%22385-55d4e79cf1500%22	http://www.freereikicourse.com/img/hp/base/ba24.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba24.jpg	(from http://www.freereikicourse.com/)
12:25:43	225096/225096	---M--	200	added ('OK')	image/jpeg	etag:%2236f48-55d4e7b5bcf80%22	http://www.freereikicourse.com/img/hp/main/mi6_1.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/main/mi6_1.jpg	(from http://www.freereikicourse.com/)
12:25:43	2239/2239	---M--	200	added ('OK')	image/jpeg	etag:%228bf-55d4e7ad27b40%22	http://www.freereikicourse.com/img/hp/base/ba25.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba25.jpg	(from http://www.freereikicourse.com/)
12:25:43	1301/1301	---M--	200	added ('OK')	image/jpeg	etag:%22515-55d4e79a14e40%22	http://www.freereikicourse.com/img/hp/base/ba26.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba26.jpg	(from http://www.freereikicourse.com/)
12:25:44	1107/1107	---M--	200	added ('OK')	image/jpeg	etag:%22453-55d4e7af0ffc0%22	http://www.freereikicourse.com/img/hp/base/ba27.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba27.jpg	(from http://www.freereikicourse.com/)
12:25:44	3503/3503	---M--	200	added ('OK')	image/jpeg	etag:%22daf-55d4e7aa4b480%22	http://www.freereikicourse.com/img/hp/base/footer.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/footer.jpg	(from http://www.freereikicourse.com/)
12:25:45	889/889	---M--	200	added ('OK')	image/jpeg	etag:%22379-55d4e7b2e08c0%22	http://www.freereikicourse.com/img/hp/base/sitemaplink.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/sitemaplink.jpg	(from http://www.freereikicourse.com/)
12:25:45	1820/1820	---M--	200	added ('OK')	image/jpeg	etag:%2271c-55d4e7a492700%22	http://www.freereikicourse.com/img/hp/base/ba28.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba28.jpg	(from http://www.freereikicourse.com/)
12:25:45	16385/16385	---M--	200	added ('OK')	text/html	etag:%224001-55d4e7e660240%22	http://www.freereikicourse.com/site_map.html	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/site_map.html	(from http://www.freereikicourse.com/)
